id	user_id	doctor_id	appointment_status	appointment_date	appointment_time	message	maiden_name	first_name	last_name	birth_date	gender	for_user	knows_doctor	phone	mobile	email	address	district	town	area_name	insurance	payment_type	payment_status	total_pretax	total_final	log	ip	user_agent	created_on	updated_on
1	5	12		20180403	1030			devops	devops	20/08/1979	Homme	oui	non	0678957826	0678957826	devops@nowhere.com		cummune de la liberté	Freetown ville	Quartier des tanguero				0	0		::1	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	30/3/2018 19:26:33	
2	5	13		20180403	1500			devops	devops	20/08/1979	Homme	yes	non	0678957826	0678957826	devops@nowhere.com		cummune de la liberté	Freetown ville	Quartier des tanguero	non			0	0		::1	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	30/3/2018 19:50:11	
4	1	14	cancelled_by_patient	20180422	800		Mcbride	Celeste	Mcbride			non	non		678957826	radjal@free.fr	4 all�e Jacques Ibert, 91240		Saint Michel sur Orge					0	0		::1	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36		
5	1	10		20180420	900		Paumelle	Radja	Lomas			non	non		678957826		17 rue Gutenberg		Bondoufle					0	0		::1	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	19/3/2018 20:01:00	
6	3	11		20180422	1000			Denis	Quaid			non	non	631618811	678957826		8 Ruelle des Roches			75002				0	0		::1	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	19/3/2018 20:02:00	
7	4	10		20180419	830			Daniel	Guilbert			non	non		631618811	r.lomas@spelldesign.fr	17 rue Gutenberg		Bondoufle					0	0		::1	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	19/3/2018 20:16:00	
83	3	6		20180415	1330			Kylee	Bernard			non	non	06 66 83 92 56	1-164-918-6181	tellus@cursus.org	P.O. Box 958, 3484 Natoque Avenue		Dublin	L				0	0				1/1/1970 00:00:00	1/1/1970 00:00:00
84	2	9		20180419	1472		Sanford	Ethan	Sanford			non	non	07 83 18 20 11	1-939-328-2545	ipsum.nunc@mifringillami.org	Ap #362-3264 Risus. Rd.		Dutse	Jigawa				0	0				1/1/1970 00:00:00	1/1/1970 00:00:00
85	2	13		20180422	1476		Sanford	Ethan	Sanford			non	non	06 40 36 22 07	1-300-790-1262	libero.Proin@interdum.co.uk	Ap #362-3264 Risus. Rd.		Dutse	Jigawa				0	0				1/1/1970 00:00:00	1/1/1970 00:00:00
86	2	12		20180424	1526			Rana	Mcconnell			non	non	07 77 71 19 64	1-959-746-2953	augue@auctor.co.uk	7413 Ac Rd.		Seattle	Washington				0	0				1/1/1970 00:00:00	1/1/1970 00:00:00
87	3	2		20180427	858		Sanford	Ethan	Sanford			non	non	09 27 45 02 85	1-118-871-0487	leo.elementum.sem@odioauctorvitae.com	Ap #362-3264 Risus. Rd.		Dutse	Jigawa				0	0				1/1/1970 00:00:00	1/1/1970 00:00:00
88	3	13		20180425	1140			Zelda	Howell			non	non	07 24 35 60 61	1-859-471-0690	eget@enimSuspendisse.edu	2503 Placerat, Avenue		Pabianice	?�dzkie				0	0				1/1/1970 00:00:00	1/1/1970 00:00:00
89	4	12		20180423	1354			Carson	Bird			non	non	06 25 68 76 91	1-527-312-6875	convallis.est@egetmetusIn.com	629-1060 Id, Rd.		Crehen	Luik				0	0				1/1/1970 00:00:00	1/1/1970 00:00:00
90	3	13		20180427	1178			Noble	Medina			non	non	01 60 94 05 83	1-331-152-3581	pellentesque.massa@velit.ca	1689 Lorem St.		Buckie	BA				0	0				1/1/1970 00:00:00	1/1/1970 00:00:00
91	2	12		20180424	1078		Sanford	Angela	Sanford			non	non	02 36 27 26 84	1-691-748-9291	at.auctor.ullamcorper@a.ca	P.O. Box 822, 130 Fames Rd.		La Valle/Wengen	Trentino-Alto Adige				0	0				1/1/1970 00:00:00	1/1/1970 00:00:00
92	3	4		20180423	1585			Walter	Goff			non	non	06 20 19 21 11	1-381-248-2957	libero.Proin.sed@nibhvulputatemauris.org	P.O. Box 110, 1059 Nonummy. Road		Sagamu	Ogun				0	0				1/1/1970 00:00:00	1/1/1970 00:00:00
