id	created	updated	created_by	ordering_count	name	hours	opens	closes	max_per_day	description	telephone	mobile	email	address	area_name	town	image	doctor_cat	groupe
1	14/3/2018 22:48:11		1	1	Radja Lomas		0800	1600		Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque lorem neque, cursus nec blandit vel, blandit eu libero. Phasellus orci felis, congue non tortor ut, sollicitudin fermentum metus	0678957826	0678957826	r.lomas@spelldesign.fr	17 rue Gutenberg	77820	Bondoufle	dummy	1	4
2	14/3/2018 23:29:25		1	2	Lomas		0800	1800		Nullam ullamcorper semper turpis, nec suscipit risus fermentum a. Pellentesque nec vulputate augue, ultricies malesuada purus. Nullam et nibh et sapien finibus blandit. In id libero nec orci elementum sodales eu nec massa. Duis et pellentesque eros, non tempus mi. Fusce convallis vel nibh vitae porttitor.	0678957826	0678957826	email@nowhere.com	4 allée Jacques Ibert	189610	Saint Michel sur Orge	dummy	3	1
3	15/3/2018 01:33:59		1	3	Bretin Jean		0900	1800		Nam sit amet semper purus. Maecenas massa ante, ultrices vulputate venenatis sit amet, consequat a mi. Nam gravida ex et hendrerit lacinia.	0678957826	0678957826	email@nowhere.com	10 Rue du Plessier	77820	Le Châtelet-en-Brie	dummy	1	
4	15/3/2018 01:34:44		1	4	Dodin Frédéric		0800	1930		Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque lorem neque, cursus nec blandit vel, blandit eu libero. Phasellus orci felis, congue non tortor ut, sollicitudin fermentum metus	0678957826	0678957826	email@nowhere.com	16 Allée de la Clairière,	77820	Le Châtelet-en-Brie	dummy	1	
5	15/3/2018 01:35:33	15/3/2018 01:36:54	1	5	Quilain Marie		0900	1930		Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque lorem neque, cursus nec blandit vel, blandit eu libero. Phasellus orci felis, congue non tortor ut, sollicitudin fermentum metus	0678957826	0678957826	email@nowhere.com	16 Allée de la Clairière,	77820	Le Châtelet-en-Brie	dummy	1	
6	15/3/2018 01:36:35		1	6	SCM des Docteurs Gest et Raad		0830	1930		Nam sit amet semper purus. Maecenas massa ante, ultrices vulputate venenatis sit amet, consequat a mi. Nam gravida ex et hendrerit lacinia.	0678957826	0678957826	email@nowhere.com	13 Quai Maréchal Foch	77000	Melun	dummy	4	
7	15/3/2018 01:37:36		1	7	Docteur Salim Meliani		0830	1800		Nullam ullamcorper semper turpis, nec suscipit risus fermentum a. Pellentesque nec vulputate augue, ultricies malesuada purus. Nullam et nibh et sapien finibus blandit. In id libero nec orci elementum sodales eu nec massa. Duis et pellentesque eros, non tempus mi. Fusce convallis vel nibh vitae porttitor.	0678957826	0678957826	email@nowhere.com	1 Rue des Sapins	77210	Avon	dummy	24	
8	15/3/2018 01:38:53		1	8	Docteur Allanche Laurent - Chirurgien ORL		0830	1930		Nam sit amet semper purus. Maecenas massa ante, ultrices vulputate venenatis sit amet, consequat a mi. Nam gravida ex et hendrerit lacinia.	0678957826	0678957826	email@nowhere.com	54 Boulevard Aristide Briand	77000	Melun	dummy	3	
9	15/3/2018 02:57:18		1	9	Docteur Guillaume Paris - Médecin du sport		0830	2000		Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque lorem neque, cursus nec blandit vel, blandit eu libero. Phasellus orci felis, congue non tortor ut, sollicitudin fermentum metus	0678957826	0678957826	email@nowhere.com	2A Avenue de Ségur	75007	Paris	dummy	27	
10	15/3/2018 02:58:15		1	10	CENTRE DE CONSULTATIONS MÉDICALES 24H/24 À PARIS		0000	2359		Nullam ullamcorper semper turpis, nec suscipit risus fermentum a. Pellentesque nec vulputate augue, ultricies malesuada purus. Nullam et nibh et sapien finibus blandit. In id libero nec orci elementum sodales eu nec massa. Duis et pellentesque eros, non tempus mi. Fusce convallis vel nibh vitae porttitor.	0678957826	0678957826	email@nowhere.com	2 Rue d'Alexandrie	75002	Paris	dummy	1	
11	15/3/2018 02:58:44		1	11	Dr GHERRAK Sandrine - Généraliste Paris 5		0900	1800		Nam sit amet semper purus. Maecenas massa ante, ultrices vulputate venenatis sit amet, consequat a mi. Nam gravida ex et hendrerit lacinia.	0678957826	0678957826	email@nowhere.com	7 Rue Berthollet	75005	Paris	dummy	1	
12	15/3/2018 02:59:46		1	12	Docteur Olivier Kadoch - Gynécologue		0900	1800		Nam sit amet semper purus. Maecenas massa ante, ultrices vulputate venenatis sit amet, consequat a mi. Nam gravida ex et hendrerit lacinia.	0678957826	0678957826	email@nowhere.com	107 Avenue Victor Hugo	75016	Paris	dummy	12	
13	15/3/2018 03:01:24	28/3/2018 21:10:13	1	13	Dr Ari Elhyani Dentiste Paris		0900	1930		Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque lorem neque, cursus nec blandit vel, blandit eu libero. Phasellus orci felis, congue non tortor ut, sollicitudin fermentum metus	0678957826	0678957826	email@nowhere.com	11 Avenue de l'Opéra	75001	Paris	dummy	6	
14	15/3/2018 03:02:27	30/3/2018 23:50:35	1	14	Dr Fabien Mauro		09:00	20:00		Nam sit amet semper purus. Maecenas massa ante, ultrices vulputate venenatis sit amet, consequat a mi. Nam gravida ex et hendrerit lacinia.	0678957826	0678957826	email@nowhere.com	18 Rue de Turbigo	75002	Paris	699df7530ec4c93	6	1
15	31/3/2018 00:00:17	31/3/2018 00:06:06	12	15	LAMAH Simon Pière	8:30	12;30	17:30	15	Le  Cabinet est situé à Donka	664256124			Route de Nézérékoré	Nézérékoré	Nézérékoré	55b8dff41b6c29b	1	2
